,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asf-rez-fork,Python
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,clove,Python
25,codec_compare,Python
26,concurrency-limits,Java
27,conductor,Java
28,conductor-community,Java
29,conductor-docs,Python
30,ember-nf-graph,JavaScript
31,ember-nf-graph-examples,JavaScript
32,eslint-config-netflix,Shell
33,eslint-plugin-x-element,JavaScript
34,eureka,Java
35,eureka-ui,JavaScript
36,EVCache,Java
37,fabricator,Java
38,falcor,JavaScript
39,falcor-datasource-chainer,JavaScript
40,falcor-express,JavaScript
41,falcor-express-demo,HTML
42,falcor-hapi,JavaScript
43,falcor-hapi-demo,HTML
44,falcor-http-datasource,JavaScript
45,falcor-json-graph,JavaScript
46,falcor-observable,JavaScript
47,falcor-path-syntax,JavaScript
48,falcor-path-utils,JavaScript
49,falcor-restify,JavaScript
50,falcor-restify-demo,HTML
51,falcor-router,JavaScript
52,falcor-router-demo,JavaScript
53,fast_jsonapi,Ruby
54,Fenzo,Java
55,Fido,C#
56,flamescope,Python
57,frigga,Java
58,genie,Java
59,glisten,Groovy
60,global-lock-bench,C
61,go-env,Go
62,go-expect,Go
63,go-iomux,Go
64,governator,Java
65,gradle-template,Java
66,hal-9001,Go
67,hollow,Java
68,hollow-reference-implementation,Java
69,hubcommander,Python
70,Hystrix,Java
71,iceberg,Java
72,iceberg-python,Python
73,iep,Java
74,iep-shadow,
75,image_compression_comparison,Python
76,inviso,JavaScript
77,karyon,Java
78,lemur,Python
79,lemur-docker,Python
80,libamicontained,Rust
81,Lipstick,JavaScript
82,maestro,Java
83,mantis,Java
84,mantis-api,Java
85,mantis-cli,JavaScript
86,mantis-connectors,Java
87,mantis-control-plane,Java
88,mantis-examples,Java
89,mantis-gradle-plugin,Groovy
90,mantis-helm,Smarty
91,mantis-mql,Clojure
92,mantis-rxcontrol,Java
93,mantis-rxnetty,
94,mantis-source-jobs,Java
95,mantis-ui,TypeScript
96,matchcut,Jupyter Notebook
97,metacat,Java
98,metaflow,Python
99,metaflow-docs,JavaScript
100,metaflow-extensions-template,Python
101,metaflow-nflx-extensions,Python
102,metaflow-service,Python
103,metaflow-tools,HCL
104,metaflow-ui,TypeScript
105,metrics-client-go,Go
106,msl,C++
107,ndbench,HTML
108,nerror,JavaScript
109,netflix-commons,Java
110,netflix-graph,Java
111,netflix.github.com,HTML
112,netflixoss-npm-build-infrastructure,
113,nf-data-explorer,TypeScript
114,nflx-geofeed,
115,nflxprofile,Python
116,NfWebCrypto,C++
117,Nicobar,Java
118,ocelli,Java
119,octodns,Python
120,octodns-ns1,Python
121,octodns-route53,Python
122,octodns-ultra,Python
123,OpenVPCal,Python
124,osstracker,Scala
125,ostris-ai-toolkit-fork,
126,p2plab,Go
127,photon,Java
128,PigPen,Clojure
129,pollyjs,JavaScript
130,polynote,HTML
131,Prana,Java
132,Priam,Java
133,probnik,TypeScript
134,pygenie,Python
135,pytheas,JavaScript
136,q,Java
137,Raigad,Java
138,ReactiveLab,Java
139,read_bbrlog,C
140,recipes-rss,Java
141,rend,Go
142,rend-http,Go
143,rend-lmdb,Go
144,repokid,Python
145,restful-jsonapi,Ruby
146,ribbon,Java
147,runtime-health,Java
148,rx-aws-java-sdk,Java
149,s3mper,Java
150,security-bulletins,
151,security_monkey,Python
152,servo,Java
153,sherlock,R
154,signal-wrapper,Go
155,SimianArmy,Java
156,sleepy-puppy-docker,Dockerfile
157,spark,Scala
158,spectator,Java
159,spectator-cpp,C++
160,spectator-go,Go
161,spectator-go-runtime-metrics,Go
162,spectator-js,TypeScript
163,spectator-py,Python
164,spectator-py-runtime-metrics,Python
165,spectator-rb,Ruby
166,staash,Java
167,sureal,Python
168,suro,Java
169,Surus,Java
170,taskintrospection,C
171,tcplog_dumper,C
172,techreports,
173,titus,
174,titus-api-definitions,Makefile
175,titus-control-plane,Java
176,titus-executor,Go
177,titus-kube-common,Go
178,tslint-config-netflix,JavaScript
179,ttal-dapt-conv,JavaScript
180,Turbine,Java
181,unleash,JavaScript
182,user2020-metaflow-tutorial,R
183,vector,JavaScript
184,vectorflow,D
185,videoannotator,Jupyter Notebook
186,virtual-kubelet,Go
187,vizceral,JavaScript
188,vizceral-component,JavaScript
189,vizceral-example,JavaScript
190,vizceral-react,JavaScript
191,vmaf,C
192,vmaf_resource,
193,void-model,Python
194,vp9-dash,
195,webpack-parse-query,JavaScript
196,weep,Go
197,Workflowable,Ruby
198,x-element,JavaScript
199,x-test,JavaScript
200,x-test-cli,JavaScript
201,yetch,JavaScript
202,zeno,Java
203,zuul,Java
